Headline,Source,Issue date,URL,Summary
"NVIDIA Corporation (NVDA) Climbs on Price Target Increase, Upbeat News From Washington",Yahoo,2025-05-14 21:10:11,https://finnhub.io/api/news?id=745a1d0d3c2fd09ca4c78c7c8090b4cc585071551c431ef3063aeeb35c70d6e0,"NVIDIA Corporation (NVDA) is advancing 3% after Bank of America increased its price target on NVDA stock to $160 from $150. Additionally, the Trump administration officially announced that it would rescind some export restrictions imposed on AI chips by the Biden administration. Schwab Network reported the news on May 14. Why Bank of America Raised […]"
"Nvidia (NVDA) Soars on Saudi AI Chip Deal, Closes in on Apple's Market Cap",Yahoo,2025-05-14 20:56:30,https://finnhub.io/api/news?id=023c829f68d84b0166de20caad43d2bec45cda64be68049227b45524e4db0fe8,A $3 trillion valuation puts Nvidia neck and neck with Apple
"US close to letting UAE import millions of Nvidia's AI chips, sources say",Yahoo,2025-05-14 20:47:50,https://finnhub.io/api/news?id=761d4884f3987ee9994f09ddd777925b6f1705a055a36d168e3acffef3e77f8d,"NEW YORK/DUBAI (Reuters) -The U.S. has a preliminary agreement with the United Arab Emirates to allow it to import 500,000 of Nvidia's most advanced AI chips per year, starting in 2025, two sources familiar with the situation said, boosting the Emirates' construction of data centers vital to developing artificial intelligence models.  The sources, who spoke on condition of anonymity, said the agreement was at least through 2027, but that there was a chance it could be in place until 2030.  The draft deal called for 20% of the chips, or 100,000 of them per year, to go to UAE's tech firm G42, while the rest would be split among U.S. companies with massive AI operations like Microsoft and Oracle that might also seek to build data centers in the UAE, the sources said."
Bridgewater reveals its top buys and sells of Q1 in latest filing,Yahoo,2025-05-14 20:46:37,https://finnhub.io/api/news?id=3f70116ad1db0ada1bfe084f3226b0dee6772aa9574a226cb7f3f6ac58cfbfc8,"A new filing from Ray Dalio's Bridgewater Associates shows the stocks the firm bought and sold during the first quarter. Among the top stocks bought are Alibaba (BABA), Baidu (BIDU), the SPDR Gold ETF (GLD), Palo Alto Networks (PANW), and Booking (BKNG). On the other side, the firm sold stakes in Alphabet (GOOG, GOOGL), Nvidia (NVDA), Meta Platforms (META), AppLovin (APP), and SPDR S&P 500 ETF (SPY). To watch more expert insights and analysis on the latest market action, check out more Market Domination here."
"These Stocks Moved the Most Today: Nvidia, AMD, Super Micro, UnitedHealth, eToro, Oklo, Exelixis, and More",Yahoo,2025-05-14 20:42:00,https://finnhub.io/api/news?id=3dca276282d2b0ace44871b1325c98d047e80ddec2dc7bbb8a72796e1fa1a487,"Nvidia and AMD extend gains after the chip makers sign deals with Saudi Arabia, shares of Super Micro Computer surge for a second day, and UnitedHealth claws back some losses from the previous session."
Who Needs China? Saudi Arabia Steps Up As Big Buyer Of AI Chips.,Yahoo,2025-05-14 20:29:07,https://finnhub.io/api/news?id=9e00783df093dd08a10e2491b628b65e9150eba6620021d3a81ec605e2083fd6,"AI stocks, led by Nvidia, rose for the second straight day following news of major business deals in Saudi Arabia."
"CoreWeave Q1 Revenue Beats. Stock Reverses Down Amid 2025 Capital Spending, Revenue Outlook.",Yahoo,2025-05-14 20:23:08,https://finnhub.io/api/news?id=fc06089b44acf39192adb0245655a1e2e81ca15a46fb479b42d0ca331ec645bf,CoreWeave stock fell after the company reported Q1 revenue that beat estimates but predicted higher-than-expected 2025 capital spending.
"BofA Calls Nvidia, AMD Likely 'Top Winners' from Saudi AI Infrastructure Deals",Yahoo,2025-05-14 20:20:35,https://finnhub.io/api/news?id=2b56aa5edaabadc42bb9d2dfc0847235ca7c39fd34eaeca437b10ed1119e3008,"Broadcom, Marvell Poised to Benefit Alongside Nvidia and AMD"
"Analyst reboots Nvidia, AMD stock price targets on Saudi deal, potential",Yahoo,2025-05-14 20:18:52,https://finnhub.io/api/news?id=f21ea00fac35e1a6d14f3c909230392da9cf5420a9d0b84282141613df902e52,A big tech buildout is coming to the Middle East.
Nvidia (NVDA) Jumps 6% on Saudi Chip Deal; CEO Net Worth Nears $120 Billion,Yahoo,2025-05-14 20:16:02,https://finnhub.io/api/news?id=e7937ad492393c61ee18c167cd86f25d34b736cec65d8b40360215e976144af8,Huang nears top 10 richest as Nvidia hits $3 trillion market cap
Nvidia-backed CoreWeave to spend up to $23 billion this year to tap AI demand boom,Yahoo,2025-05-14 20:12:33,https://finnhub.io/api/news?id=33977c1a45e2af523e65ddb2073999477e5c65c1b103757a083477215a1e2d76,"(Reuters) -CoreWeave is looking to spend $20 billion to $23 billion this year on AI infrastructure and data center capacity, the Nvidia-backed company said on Wednesday, as it aims to meet booming demand from clients, including Microsoft.  The heavy-spending plan weighed on its shares, which fell 5% after surging as much as 11% on better-than-expected revenue in its first results as a public company after debuting on the Nasdaq in March.  CoreWeave has a unique way of structuring its debt and capital spending that will take time for the market to understand, CEO Mike Intrator told Reuters in an interview."
Two bullish signs: S&P 500 tips positive for the year and the Nasdaq sees a successful IPO,Yahoo,2025-05-14 20:08:41,https://finnhub.io/api/news?id=57b8f5f46f242748b4afb89153c250f9d427fb600a65c8672687a1de17018e36,"After a tumultuous April, U.S. stocks slowly started to turn around and the fintech company eToro had an excellent first day of trading."
Saudi AI push fuels chip optimism: What to know,Yahoo,2025-05-14 20:03:00,https://finnhub.io/api/news?id=18bee5b4fdc3f2e815596bc286dfd4c760dbf7abc9b1684c14f0b84f89f5f046,"Chip stocks rallied on Wednesday after a wave of artificial intelligence (AI)–related announcements tied to Saudi Arabia. Patrick Moorhead, founder, CEO, and chief analyst at Moor Insights & Strategy, joins Market Domination to explain what's real and what's speculative in deals from Nvidia (NVDA), Advanced Micro Devices (AMD), and Qualcomm (QCOM). To watch more expert insights and analysis on the latest market action, check out more Market Domination here."
"Silicon Valley's conference season kicks off amid AI, tariff trepidation",Yahoo,2025-05-14 19:47:45,https://finnhub.io/api/news?id=f1e611f50f076af7ce9147e81ce60ceb89d5f986beeefb38ad506fd30fbe778c,"Big Tech is gearing up for its annual conference season, with AI and chips top of mind."
Palantir: No Company Should Be So Expensive,SeekingAlpha,2025-05-14 18:12:47,https://finnhub.io/api/news?id=d3337f8fbb7fc4b82e0932f1ebbf1e3dd1bb2cc25ebe3609659d3831e41377bc,
Nvidia-backed CoreWeave beats first-quarter revenue estimate,Finnhub,2025-05-14 16:13:07,https://finnhub.io/api/news?id=4748ed2490a7d99bb71fb7590aa92aa448eca1a070c73c425785e84a8c3e6b82,"CoreWeave on Wednesday beat Wall Street estimate for quarterly revenue in its first set of results as a public company, signaling strength in demand for the Nvidia-backed AI cloud computing startup's..."
Wall Street Lunch: Oil Money Juices Big Tech,SeekingAlpha,2025-05-14 14:17:00,https://finnhub.io/api/news?id=f4468254e23ec5b8d6b01ea86ba1deadca2c27d1b25f254fbbda1eca5471218b,Chip and AI stocks are getting their mojo back with Mideast deals. AMD announces $6B buyback. Starbucks baristas strike over dress code.
Nvidia and AMD Stocks Rally on Trump's Saudi Arabia Visit,Finnhub,2025-05-14 13:17:40,https://finnhub.io/api/news?id=d2592cc67f12ffcdccc9fe9db585a4ae6bbb3f385dddf84d63e022da838b0c2b,"President Trump is striking deals to give Saudi Arabia wider access to advanced AI chips. Nvidia , AMD are seeing gains while Super Micro announced it reached a deal worth $20 billion dollars...."
Tech Stocks - Focus On What Management Isn't Talking About,SeekingAlpha,2025-05-14 12:40:00,https://finnhub.io/api/news?id=42c2faf54e586731f3caa559730f6c866619d382cc564bce7ca27895c4f30f18,"Sara Awad, fromÂ Tech Stock Pros,Â returns to discuss the volatile and stressful tech sector."
AMD: Sell The Buyback News,SeekingAlpha,2025-05-14 12:04:31,https://finnhub.io/api/news?id=c662e12287ad3161bd39c3b481470ed66ebd91b0364658ba4320ca9708bb456e,"Advanced Micro Devices, Inc. shares soared on $6B buyback news despite timing concerns. Click here to find out why AMD stock is a Sell."
"These Stocks Are Moving the Most Today: Nvidia, AMD, Super Micro, UnitedHealth, Oklo, Exelixis, Grail, and More",MarketWatch,2025-05-14 11:23:00,https://finnhub.io/api/news?id=40a4b41e0dbf058ffaac776415d3c5e882fa8d0951bf0509682686874fdb0bdb,"These Stocks Are Moving the Most Today: Nvidia, AMD, Super Micro, UnitedHealth, Oklo, Exelixis, Grail, and More"
"SoftBank Group Earnings: All-In On AI, But At What Cost?",SeekingAlpha,2025-05-14 11:15:59,https://finnhub.io/api/news?id=46c21b0ac3f0b3fd1cbf0cf1a73890a8313679b37c561dfeca88f69283345408,"SoftBank posts first positive earnings in 4 years. Click to read more about key risks, $40B OpenAI investment, ARM's high valuation, and Vision Funds' poor performance."
Give This Stock Credit For Something Nvidia And Tesla Failed To Do,DowJones,2025-05-14 10:54:50,https://finnhub.io/api/news?id=e383840ceb81b082b57e0dc448a298d5d9a551fa560dbc7d1194ddfff3393484,Give This Stock Credit For Something Nvidia And Tesla Failed To Do
Wolfspeed Stock Rises for Third Day. Why Shares Are Suddenly Surging.,MarketWatch,2025-05-14 10:50:00,https://finnhub.io/api/news?id=48a88026aed9075299f13a211aa980bd2a6d7776d6ca56a080c6b14543101f87,Wolfspeed Stock Rises for Third Day. Why Shares Are Suddenly Surging.
Nvidia Stock Gains. It’s Snapping at Apple’s Heels for a Second Day.,MarketWatch,2025-05-14 10:31:00,https://finnhub.io/api/news?id=01756bba53091e938a83850b261d7909d24b88ad9d735b1e30c88ca74e5d8db7,Nvidia Stock Gains. It’s Snapping at Apple’s Heels for a Second Day.
Foxconn Supplies Nvidia and Apple. Why It Cut Its Guidance.,MarketWatch,2025-05-14 10:24:00,https://finnhub.io/api/news?id=e8de05360000d819e6e40310bfd70f361297d1af95f7a29761e9991d0a50fb13,Foxconn Supplies Nvidia and Apple. Why It Cut Its Guidance.
"AMD Stock Jumps. Buyback News, and More, Boosts AI Chip Maker.",MarketWatch,2025-05-14 10:20:00,https://finnhub.io/api/news?id=ea0871aafe649b66e9a0b602df0dfee31180ab4fb3f67c0249af78b8fbcf86aa,"AMD Stock Jumps. Buyback News, and More, Boosts AI Chip Maker."
Why the S&P 500 still struggled to gain despite the AI rally on Wednesday,MarketWatch,2025-05-14 10:19:44,https://finnhub.io/api/news?id=11b928cc0fb92a08738288f302c795d0148a81a99674da18c936caacbe802295,Why the S&P 500 still struggled to gain despite the AI rally on Wednesday
"Arm Eats Into Intel and AMD Market Share in First Quarter, Say Citi Analysts",MarketWatch,2025-05-14 10:07:00,https://finnhub.io/api/news?id=b1d2346e660d969bc008aeaea63910730d8573555cb65a4ec73a0d22122c02db,"Arm Eats Into Intel and AMD Market Share in First Quarter, Say Citi Analysts"
"Big Tech ETF rises, on pace for longest winning streak of 2025",MarketWatch,2025-05-14 10:05:02,https://finnhub.io/api/news?id=03c983708b9816a3f79f9bacf037446a2eb1f3df675094c2dde6abee06924f1e,"Big Tech ETF rises, on pace for longest winning streak of 2025"
Sui leads way as most big cryptocurrencies post drops,MarketWatch,2025-05-14 10:00:00,https://finnhub.io/api/news?id=ee936a120d0df543da2ae9d768759cc2f5c4f7164b0965f9b43b260cd8b950fd,Sui leads way as most big cryptocurrencies post drops
Trump's Fiscal Austerity: A Shock To The Economy And Market,SeekingAlpha,2025-05-14 10:00:00,https://finnhub.io/api/news?id=f4fbda16ac36feebc16225cb7b8e26f9c3f36d15d4344a5aa94840823e1353fc,"Explore how the US fiscal deficit and proposed austerity measures may lead to a 2025 recession, impacting GDP and triggering significant stock market volatility."
"Dow Jones Rises As Nvidia, Tesla Rally; Super Micro Soars On $20 Billion AI Deal",DowJones,2025-05-14 09:51:05,https://finnhub.io/api/news?id=b7c5b578e495699cc814c5d5ac7508f0dc0147ca9cc5a0f0d5950314cec4ffdf,"Dow Jones Rises As Nvidia, Tesla Rally; Super Micro Soars On $20 Billion AI Deal"
Nvidia's Off To The Races - Chip Export Controls End,SeekingAlpha,2025-05-14 09:30:57,https://finnhub.io/api/news?id=d7b97b7f63029eb4ef7a218f76070cacb344c84dd0f0e04be0a3b7633f6c0f93,"The US DoC has scrapped the AI Diffusion export controls, removing a major regulatory overhang and reigniting Nvidiaâs global Sovereign AI ambitions."
Nvidia supplier Foxconn cuts outlook due to currency appreciation,Finnhub,2025-05-14 09:30:29,https://finnhub.io/api/news?id=62273da9e912b96183888ce1d6ddc8186f6af3b1331ae724a9b311cb4a93237e,"Taiwan's Foxconn,the world's largest contract electronics maker, downgraded itsfull-year outlook on Wednesday citing recent appreciation of theTaiwan dollar, even as it struck an upbeat note about..."
This discount hotel chain wants in on Middle East tourism boom after Trump visit,MarketWatch,2025-05-14 09:28:00,https://finnhub.io/api/news?id=fcacc56d0f480a39252370d48cbcc7d0dbf69689a0a9109d1e9d164638e54229,This discount hotel chain wants in on Middle East tourism boom after Trump visit
"AMD Will Never Match Nvidia, And That's Why It's A BUY (Upgrade)",SeekingAlpha,2025-05-14 09:02:51,https://finnhub.io/api/news?id=0a1cb88863cdee0f32dc6bd131d30b8dae8d8597b4d2874dbf6f873e4b082de2,"AMD trails Nvidia in AI chip technology with data center growth at 39% YoY (Q1) versus Nvidiaâs 427%, Check out why I am upgrading my rating on AMD to Buy."
Parnassus Growth Equity Fund Q1 2025 Commentary,SeekingAlpha,2025-05-14 08:44:00,https://finnhub.io/api/news?id=18c9bbc6b81692bfba93830d77b86454e725fe7091cfd4064d5b67663954fbde,"Parnassus Growth Equity Fund (Investor Shares) returned -8.59% (net of fees) for the quarter, faring better than the Russell 1000 Growth Indexâs -9.97%."
"Dow Jones Futures: S&P 500 Erases 2025 Loss On Nvidia-Saudi Deal; Palantir, Carvana Break Out",DowJones,2025-05-13 18:56:52,https://finnhub.io/api/news?id=717ac46bcf190f0a1fa2e94c86bd4b6df8ba5120963a0331be9fd7ceaafc1dbf,"Dow Jones Futures: S&P 500 Erases 2025 Loss On Nvidia-Saudi Deal; Palantir, Carvana Break Out"
Saudi Arabia Cutting AI Chip Deals With US Big Tech,Finnhub,2025-05-14 07:48:00,https://finnhub.io/api/news?id=7e87d6995a09c2a3b1e4783ea868acaf3ca9e327c3739e58e4be715fe89a0c32,Saudi Arabia and the United Arab Emirates are poised to win wider access to advanced AI chips from Nvidia and Advanced Micro Devices under agreements with the US expected to be unveiled in coming...
U.S. Scraps 'AI Diffusion' Rule in Revamp of Biden-Era Chip Curbs -- Update,Finnhub,2025-05-14 06:50:08,https://finnhub.io/api/news?id=b4066fbeb00fd684b8e5c65b94a6b661325d554d958b65e304d2cc07f062ebf2,"By Sherry Qin The U.S. has revamped Biden-era rules on artificial-intelligence chips, scrapping a measure that had been unpopular with technology firms like Nvidia, which welcomed the move. ..."
Tech Fuels Stock Rebound. Why the AI Bounce Is Different This Time.,MarketWatch,2025-05-14 06:47:00,https://finnhub.io/api/news?id=a416012a98a30845e67d2333fba6c8fa5f99182d4c6d4f1a8ce5c2ef38251e3f,Tech Fuels Stock Rebound. Why the AI Bounce Is Different This Time.
U.S. Scraps ‘AI Diffusion’ Rule in Revamp of Biden-Era Chip Curbs,DowJones,2025-05-14 06:42:00,https://finnhub.io/api/news?id=4c540efe504c7424ae6daa9943d17a8ae954517c84abc814bd58897fb10bcbb5,U.S. Scraps ‘AI Diffusion’ Rule in Revamp of Biden-Era Chip Curbs
"Nvidia and Super Micro rally as AI trade revives, and other movers",MarketWatch,2025-05-14 06:34:46,https://finnhub.io/api/news?id=7e1842156e16b03079bc4d7624e9e3331298fff460662ce799ed1dbbcedd42bd,"Nvidia and Super Micro rally as AI trade revives, and other movers"
Le Monde And Perplexity Announce Strategic Partnership,Finnhub,2025-05-14 05:56:20,https://finnhub.io/api/news?id=69b7f1177bf13b6dacab873398156f2cff6ec5ed71852b138337a9a8fe2d4d4f,Le Monde: * LE MONDE AND PERPLEXITY ANNOUNCE STRATEGIC PARTNERSHIP ...
UPDATE 4-Nvidia supplier Foxconn cuts outlook due to tariff uncertainty,Finnhub,2025-05-14 05:42:53,https://finnhub.io/api/news?id=24f95f01eaa3352629c028259c5ebe3726c82f25b55d6f0ce1c9d17e2db76cf9,"Taiwan's Foxconn,the world's largest contract electronics maker, downgraded itsfull-year outlook on Wednesday citing uncertainty about U.S.tariffs, even as it struck an upbeat note about booming..."
NVIDIA CORP : Gets a Buy rating from Bernstein,Finnhub,2025-05-14 05:32:16,https://finnhub.io/api/news?id=0015b6757272a75bf9136910d31066ce8655c0a1e5a0b462ab00d2193c30829f,Bernstein is positive on the stock with a Buy rating. The target price remains unchanged at USD 185.
Nvidia supplier Foxconn cuts outlook due to tariff uncertainty,Finnhub,2025-05-14 05:15:20,https://finnhub.io/api/news?id=8d1f7de0861f1d8c2a84579c51b60a38246dd72612d3a8766529f66749fd282b,"Taiwan's Foxconn,the world's largest contract electronics maker, downgraded itsfull-year outlook on Wednesday citing uncertainty about U.S.tariffs, even as it struck an upbeat note about booming..."
Did you say sanctions?,Finnhub,2025-05-14 05:00:14,https://finnhub.io/api/news?id=e41a2f961a18bc677867147c21501bc5de8f31e05bb1db32e034d572cb205514,"Despite numerous restrictions, controls, and everything that goes with them, China still manages to source chips dedicated to the development of artificial intelligence."
Nvidia supplier Foxconn's profit surges; outlook clouded by tariffs,Finnhub,2025-05-14 03:34:25,https://finnhub.io/api/news?id=7d1b9197d0f435f88f3fd5dd91761bdb642e1609d2fe6fec877c137dc8f02594,"Taiwan's Foxconn,the world's largest contract electronics maker, said onWednesday quarterly profit leapt 91%, beating forecasts, thanksto strong demand for AI servers, although the outlook..."
Nvidia supplier Foxconn's first-quarter profit surges on AI server demand,Finnhub,2025-05-14 02:34:17,https://finnhub.io/api/news?id=b2c0bb1de5bae1440dbadbc8656b0fb63ac41110478cd54226ea69e098c86959,"Taiwan's Foxconn,the world's largest contract electronics maker, on Wednesdaysaid first-quarter profit leapt 91% and beat the market forecaston continued strong demand for artificial intelligence..."
France's Le Monde enters into content partnership with AI startup Perplexity,Finnhub,2025-05-14 02:01:16,https://finnhub.io/api/news?id=c6ee84b774cbc4a9f2817f45c1a6fe8a39565ef3ecd67f78a871e89de7f6469a,"French newspaper Le Monde enteredinto a content partnership with U.S.-based artificialintelligence company Perplexity on Wednesday, as AI startupscompete for deals with news publications to improve..."
CoreWeave Reports Earnings Today. The Outlook Is Key.,MarketWatch,2025-05-14 01:00:00,https://finnhub.io/api/news?id=d527d02c84c3fcafaade272dd6aad2fa68d7399f8067ba92aa9edf820895c114,CoreWeave Reports Earnings Today. The Outlook Is Key.
Hartford Global Impact Fund Q1 2025 Commentary,SeekingAlpha,2025-05-14 00:58:00,https://finnhub.io/api/news?id=2b71041fce234f403899e6b2b7556c5b2fce8103e275b2884515cf74b32bbcd2,The Hartford Global Impact Fund (I Share) outperformed the MSCI ACWI Index during the quarter. Read more here.
MORNING BID EUROPE-Markets near even keel amid trade deal hope,Finnhub,2025-05-14 00:31:10,https://finnhub.io/api/news?id=f0bc9cb2822c0f5d6be5c6bfcdbd51fae9cc2bb447d320e12ecdc4397b896d52,A look at the day ahead in European and global markets fromRocky Swift Most major equity markets have clawed back loss in the six weekssince U.S. President Donald Trump dropped his...
Nvidia Jumps 5.5% As Saudis Greenlight AI Build-Out,Yahoo,2025-05-13 19:29:25,https://finnhub.io/api/news?id=597692e44ced28a0f251abb06f97a6ee0e182c019e1d13091b6a5c061e833a7a,Partnership with Humain positions Nvidia at center of Middle East tech push
"Nvidia (NVDA) Shares Skyrocket, What You Need To Know",Yahoo,2025-05-13 19:02:19,https://finnhub.io/api/news?id=e09d84656db6ef1cbd67bb695fa2b112805b46b81e2e8c10bc117f210ae37c6f,"Shares of leading designer of graphics chips Nvidia (NASDAQ:NVDA) jumped 6% in the afternoon session after the company said it would sell more than 18,000 of its AI chips (GB300 Blackwell chips) to Saudi Arabian company Humain to be used in a 500 megawatt data-center project. The agreement also includes further expansion with ""several hundred thousand"" additional chips potentially planned for delivery within five years."
Saudi Arabia and NVIDIA to Build AI Factories to Power Next Wave of Intelligence for the Age of Reasoning,Yahoo,2025-05-13 18:15:00,https://finnhub.io/api/news?id=0f2620eed8a1d5871ef65dbd18f30b6d7fa9498e739690fb367b16c8355766e2,"Saudi Arabia to Become a Global AI Leader With Sovereign AI Infrastructure Powered by NVIDIARIYADH, Saudi Arabia, May 13, 2025 (GLOBE NEWSWIRE) -- NVIDIA and the Kingdom of Saudi Arabia (KSA) today announced partnerships to transform the country into a global powerhouse in AI, cloud and enterprise computing, digital twins and robotics. During a state visit today with U.S. President Donald Trump and His Royal Highness Prince Mohammed bin Salman bin Abdulaziz Al Saud, Crown Prince and Prime Minist"
Macro Data Leave Equities Mixed Intraday; Nvidia Rallies,Yahoo,2025-05-13 18:13:00,https://finnhub.io/api/news?id=134a8e073bb886d74a021f11653337f37b2a2fa8c0a35e53481cbc51897612e3,"US benchmark equity indexes were mixed intraday as traders weighed latest economic data, including a"
Trump and MBS Tout $1 Trillion Pledge as Details Remain Elusive,Yahoo,2025-05-13 17:49:02,https://finnhub.io/api/news?id=dc7f67037ed5fd23b0437e18bfd22910a691c5b80d1cb120516d6049a9a58da6,"(Bloomberg) -- President Donald Trump and Saudi Crown Prince Mohammed bin Salman touted a pledge for $1 trillion in commercial deals in Riyadh on Tuesday, a staggering figure that doesn’t quite stand up to scrutiny.Most Read from BloombergAs Coastline Erodes, One California City Considers ‘Retreat Now’A New Central Park Amenity, Tailored to Its East Harlem NeighborsWhat’s Behind the Rise in Serious Injuries on New York City’s Streets?NYC Warns of 17% Drop in Foreign Tourists Due to Trump Policie"
Why 3D Systems (DDD) Stock Is Trading Lower Today,Yahoo,2025-05-13 17:40:46,https://finnhub.io/api/news?id=5f611ef82f1864ade2394113b420fac3a455628a7ca7e23c206c1601939eaa6e,"Shares of 3D printing company 3D Systems (NYSE:DDD) fell 25.8% in the afternoon session after the company reported disappointing first quarter 2025 results: its revenue, EPS, and EBITDA missed Wall Street's estimates significantly. Revenue declined, largely tied to a drop in materials sales in the dental market, where customers cut orders to manage inventory. Looking ahead, management pulled full-year guidance, citing uncertainty in customer budgets and global tariff risks. Overall, this was a w"
Sector Update: Tech,Yahoo,2025-05-13 17:39:46,https://finnhub.io/api/news?id=f9f8521d706ff6a41f35609723dab3bfb9cc5c455780c85ea80d6035b5a46caa,Tech stocks rose Tuesday afternoon with the Technology Select Sector SPDR Fund (XLK) rising 2.4% and
Why Quest Resource (QRHC) Shares Are Trading Lower Today,Yahoo,2025-05-13 17:35:47,https://finnhub.io/api/news?id=4411a94d466993f495a07fd70ab367c0daa028a25065ab5b9f4bf8ebb4ab3a15,"Shares of waste and recycling services provider Quest Resource (NASDAQ:QRHC) fell 5.2% in the afternoon session after the company reported weak first quarter 2025 results, its revenue missed significantly and its EPS fell short of Wall Street's estimates. Sales fell by 6% and gross profits declined, as higher costs and fewer contracts dragged performance down."
"Nvidia Leads Chips Stocks Higher on Optimism About New Partnerships, Trade Deals",Yahoo,2025-05-13 17:25:12,https://finnhub.io/api/news?id=8effbf7b95fac31bb42fa533f6601f5795d391694a230efd9f5c1fe33679e0d8,Shares of Nvidia and other semiconductor stocks surged Tuesday amid optimism about new partnerships and trade deals.
